,predicted_mean
2018-12-01,409.2571026937789
2019-01-01,410.41556109793856
2019-02-01,411.07753538980035
2019-03-01,411.99220578774606
2019-04-01,413.44275866037265
2019-05-01,414.0941389913992
2019-06-01,413.35683303118316
2019-07-01,411.61505843962266
2019-08-01,409.5657423008369
2019-09-01,408.1118077534808
2019-10-01,408.41065030636656
2019-11-01,410.00770428289144
2019-12-01,411.4377194586656
2020-01-01,412.62667298065986
2020-02-01,413.31629306073324
2020-03-01,414.2431609432064
2020-04-01,415.7000421568571
2020-05-01,416.35470017486233
2020-06-01,415.6195091914983
2020-07-01,413.8793368558538
2020-08-01,411.8312780589697
2020-09-01,410.37814135328296
2020-10-01,410.6770087138829
2020-11-01,412.27354231188815
2020-12-01,413.7030651266022
2021-01-01,414.89159788058583
2021-02-01,415.58097277341955
2021-03-01,416.5075029181182
2021-04-01,417.96384781224486
2021-05-01,418.6182650250464
2021-06-01,417.88334678275544
2021-07-01,416.1438186630607
2021-08-01,414.0965178119939
2021-09-01,412.6439188457812
2021-10-01,412.9426756844502
2021-11-01,414.5386186201844
2021-12-01,415.9676125503273
2022-01-01,417.1557055749663
2022-02-01,417.8448254147484
2022-03-01,418.771012761073
2022-04-01,420.22681883336327
2022-05-01,420.8809939234548
2022-06-01,420.14634758874195
2022-07-01,418.40746306510295
2022-08-01,416.3609196807101
2022-09-01,414.9088581515215
2022-10-01,415.2075044552483
2022-11-01,416.80285691917305
2022-12-01,418.2313221458019
2023-01-01,419.4189755961737
2023-02-01,420.10784047330344
2023-03-01,421.0336851460179
2023-04-01,422.4889525947508
2023-05-01,423.1428856511534
2023-06-01,422.40851112312566
2023-07-01,420.67026995727076
2023-08-01,418.62448375922287
2023-09-01,417.1729594681746
2023-10-01,417.47149527783375
2023-11-01,419.06625748840247
2023-12-01,420.4941942071228
2024-01-01,421.6814082458593
2024-02-01,422.37001825466695
2024-03-01,423.29552038055385
2024-04-01,424.7502494050106
2024-05-01,425.40394051727236
2024-06-01,424.66983769536574
2024-07-01,422.9322396492634
2024-08-01,420.88721035741435
2024-09-01,419.4362231057374
2024-10-01,419.7346484622098
2024-11-01,421.32882063780613
2024-12-01,422.7562290441569
2025-01-01,423.943003833833
2025-02-01,424.63135906861555
2025-03-01,425.5565187744115
2025-04-01,427.0107095737999
2025-05-01,427.66415883143605
2025-06-01,426.93032761512393
2025-07-01,425.19337245083074
2025-08-01,423.14909978513805
2025-09-01,421.69864937413695
2025-10-01,421.99696431828846
2025-11-01,423.59054667721534
2025-12-01,425.01742696666315
2026-01-01,426.2037626697936
2026-02-01,426.89186322481305
2026-03-01,427.8166806372076
2026-04-01,429.27033341066186
2026-05-01,429.92354090315456
2026-06-01,429.1899811919474
2026-07-01,427.453668671608
2026-08-01,425.4101523521328
2026-09-01,423.96023858318557
2026-10-01,424.25844315586687
2026-11-01,425.8514359163465
2026-12-01,427.27778828428563
2027-01-01,428.463685063325
2027-02-01,429.1515310328086
2027-03-01,430.0760062784445
2027-04-01,431.52912122502505
2027-05-01,432.18208704182325
2027-06-01,431.44879873526884
2027-07-01,429.71312862111586
2027-08-01,427.67036836802293
2027-09-01,426.2209910425812
2027-10-01,426.51908528462786
2027-11-01,428.11148866480164
2027-12-01,429.53731330655415
2028-01-01,430.72277132389684
2028-02-01,431.4103628020369
2028-03-01,432.3344960075101
